Title,Author,Year,Citation.count,Open.access,DOI,Abstract,doi_n,Source
economic competition among jurisdictions efficiency enhancing or distortion inducing,Wallace E. Oates|Robert M. Schwab,1988,1033,NOT Open Access,https://doi.org/10.1016/0047-2727(88)90036-9,,10.1016/0047-2727(88)90036-9,B26
the attenuation of human capital spillovers,Stuart S. Rosenthal|William C. Strange,2008,664,NOT Open Access,https://doi.org/10.1016/j.jue.2008.02.006,,10.1016/j.jue.2008.02.006,B26
networking off madison avenue,Mohammad Arzaghi|J. Vernon Henderson,2008,514,NOT Open Access,https://doi.org/10.1111/j.1467-937x.2008.00499.x,,10.1111/j.1467-937x.2008.00499.x,B26
water pollution progress at borders the role of changes in china s political promotion incentives,Matthew E. Kahn|Pei Li|Daxuan Zhao,2015,496,NOT Open Access,https://doi.org/10.1257/pol.20130367,,10.1257/pol.20130367,B26
polluting thy neighbor unintended consequences of china s pollution reduction mandates,Hongbin Cai|Yuyu Chen|Qing Gong,2015,474,NOT Open Access,https://doi.org/10.1016/j.jeem.2015.01.002,,10.1016/j.jeem.2015.01.002,B26
decentralization and pollution spillovers evidence from the re drawing of county borders in brazil,Molly Lipscomb|Ahmed Mushfiq Mobarak,2016,362,Open Access,https://doi.org/10.1093/restud/rdw023,"Decentralization can improve service delivery, but it can also generate externalities across jurisdictional boundaries. We examine the nature and size of water pollution externalities as rivers flow across jurisdictions. Panel data on water pollution in Brazilian rivers coupled with county splits that change the locations of borders allow us to identify the spatial patterns of pollution as rivers approach and cross borders, controlling for fixed effects and trends specific to each location. The theory of externalities predicts that pollution should increase at an increasing rate as the river approaches the downstream exit border, that there should be a structural break in the slope of the pollution function at the border, and that a larger number of managing jurisdictions should exacerbate pollution externalities. We find support for all four predictions in the data. Satellite data on growth in night-time lights along rivers show that local authorities allow more settlements to develop close to rivers in the downstream portions of counties, which is the likely underlying mechanism. The border effects on pollution are not as pronounced when the cost of inter-jurisdictional coordination is lower.",10.1093/restud/rdw023,B26
fine scale damage estimates of particulate matter air pollution reveal opportunities for location specific mitigation of emissions,Andrew L. Goodkind|Christopher W. Tessum|Jay S. Coggins|Jason Hill|Julian Marshall,2019,266,Open Access,https://doi.org/10.1073/pnas.1816102116,"Fine particulate matter (PM 2.5 ) air pollution has been recognized as a major source of mortality in the United States for at least 25 years, yet much remains unknown about which sources are the most harmful, let alone how best to target policies to mitigate them. Such efforts can be improved by employing high-resolution geographically explicit methods for quantifying human health impacts of emissions of PM 2.5 and its precursors. Here, we provide a detailed examination of the health and economic impacts of PM 2.5 pollution in the United States by linking emission sources with resulting pollution concentrations. We estimate that anthropogenic PM 2.5 was responsible for 107,000 premature deaths in 2011, at a cost to society of $886 billion. Of these deaths, 57% were associated with pollution caused by energy consumption [e.g., transportation (28%) and electricity generation (14%)]; another 15% with pollution caused by agricultural activities. A small fraction of emissions, concentrated in or near densely populated areas, plays an outsized role in damaging human health with the most damaging 10% of total emissions accounting for 40% of total damages. We find that 33% of damages occur within 8 km of emission sources, but 25% occur more than 256 km away, emphasizing the importance of tracking both local and long-range impacts. Our paper highlights the importance of a fine-scale approach as marginal damages can vary by over an order of magnitude within a single county. Information presented here can assist mitigation efforts by identifying those sources with the greatest health effects.",10.1073/pnas.1816102116,B26
international spillovers and water quality in rivers do countries free ride,Hilary Sigman,2002,230,NOT Open Access,https://doi.org/10.1257/00028280260344687,,10.1257/00028280260344687,B26
understanding knowledge spillovers,J. Vernon Henderson,2007,208,NOT Open Access,https://doi.org/10.1016/j.regsciurbeco.2006.11.010,,10.1016/j.regsciurbeco.2006.11.010,B26
real estate valuation and cross boundary air pollution externalities evidence from chinese cities,Siqi Zheng|Jing Cao|Matthew E. Kahn|Cong Sun,2013,181,NOT Open Access,https://doi.org/10.1007/s11146-013-9405-4,,10.1007/s11146-013-9405-4,B26
assessing the recent estimates of the global burden of disease for ambient air pollution methodological changes and implications for low and middle income countries,Bart Ostro|Joseph V. Spadaro|Sophie Gumy|Pierpaolo Mudu|Yewande Awe|Francesco Forastiere|Annette Peters,2018,112,Open Access,https://doi.org/10.1016/j.envres.2018.03.001,,10.1016/j.envres.2018.03.001,B26
fiscal federalism and interjurisdictional externalities new results and an application to us air pollution,H. Spencer Banzhaf|B. Andrew Chupp,2012,99,NOT Open Access,https://doi.org/10.1016/j.jpubeco.2012.01.001,,10.1016/j.jpubeco.2012.01.001,B26
the impact of indonesian forest fires on singaporean pollution and health,Tamara L. Sheldon|Chandini Sankaran,2017,89,NOT Open Access,https://doi.org/10.1257/aer.p20171134,,10.1257/aer.p20171134,B26
smart caf cities testing human capital externalities in the boston metropolitan area,Shihe Fu,2006,169,NOT Open Access,https://doi.org/10.1016/j.jue.2006.06.002,,10.1016/j.jue.2006.06.002,B26
growing state federal conflicts in environmental policy the role of market based regulation,Roberton C. Williams,2011,72,NOT Open Access,https://doi.org/10.1016/j.jpubeco.2011.08.003,,10.1016/j.jpubeco.2011.08.003,B26
is china s pollution the culprit for the choking of south korea evidence from the asian dust,Ruixue Jia|Hyejin Ku,2019,70,Open Access,https://doi.org/10.1093/ej/uez021,"Abstract This paper studies the impact of air pollution spillover from China to South Korea. To isolate the effects of cross-border pollution spillover from that of locally generated pollution, we exploit within-South Korea and over-time variation in the incidence of Asian dust—a meteorological phenomenon exogenous to district–time cells in South Korea—together with temporal variations in China's air quality. We find that conditional on being exposed to Asian dust, increased pollution in China leads to increased mortality from respiratory and cardiovascular diseases in South Korean districts, with the most vulnerable being the elderly and children under five.",10.1093/ej/uez021,B26
can decentralized planning really achieve first best in the presence of environmental spillovers,Harrison Fell|Daniel Kaffine,2014,58,NOT Open Access,https://doi.org/10.1016/j.jeem.2014.04.001,,10.1016/j.jeem.2014.04.001,B26
